username;giorno;mese;anno;orario;retweets;favorites;text;operatore;label
carpitaly;2019-02-19;2019-02;2019;15:53;0;0;sono senza internet, telefono ed informazioni sulla riattivazione del servizio dal giorno 5 Febbraio. Siete ridicoli. # maipiùvodafone;VODAFONE;D
carpitaly;2019-02-19;2019-02;2019;15:51;0;0;@ VodafoneIT sono senza internet, telefono ed informazioni sulla riattivazione del servizio dal giorno 5 Febbraio. Siete ridicoli. # maipiùvodafone;VODAFONE;D
nabucoodonozor;2019-02-19;2019-02;2019;10:39;0;0;Ho seri problemi ora anche con la linea telefonica oltre che con i msg;VODAFONE;D
manucollant;2019-02-19;2019-02;2019;08:54;0;0;@ VodafoneIT mi figlio si trova a malta ma non gli funziona internet, che deve fare?;VODAFONE;D
LuciaViviano;2019-02-19;2019-02;2019;01:55;0;0;Voglio tantissimi giga ma con 2 che puoi farci va lentissima la linea;VODAFONE;D
RositaBagnato;2019-02-18;2019-02;2019;22:48;0;0;Salve voglio segnalare un guasto di linea a San Chirico Raparo (Potenza) é dalle 13 di oggi che siamo senza linea e per chi come me ha scelto di avere solo il cellulare togliendo il telefono fisso, é una cosa molto grave. Chiedo di avere informazioni in merito. Grazie.;VODAFONE;D
MaurizioFeder10;2019-02-18;2019-02;2019;21:05;0;0;"@ VodafoneIT avete fatto tanta pubblicità per passare al 4g negli anni passati. Effettivamente fino a un po'di mesi fa andava bene. Ora con ""ho"" e il '5g ""prossimo All uscita, il 4g è diventato penoso...peggio del 3g. Sicuro che non risolverete il problema scommettiamo????";VODAFONE;D
VincenzoAprea5;2019-02-18;2019-02;2019;19:03;0;0;@ VodafoneIT Salve ho un problema sulla mia linea , pur avento una velocita di download di 11 mbps, provando a scaricare , ad esempio, google chrome, mi da un tempo di 2 ore.....come risolvo?;VODAFONE;D
mj232905;2019-02-18;2019-02;2019;17:14;0;0;@ VodafoneIT ho un problema con una fattura di rete fissa ma non riesco a parlare con operatore.;VODAFONE;D
marcaccia;2019-02-18;2019-02;2019;16:35;0;0;Provato mi chiedono un nr di telefono Vodafone valido ma non ce l'ho è una linea chiusa per decesso dell'utente;VODAFONE;D
itsdasum;2019-02-18;2019-02;2019;15:10;0;0;@ VodafoneIT è da qualche giorno che sto avendo problemi e non riesco a risolverli. Non riesco a usare la connessione dati e rimane fisso sul 2g Cosa posso fare? Aiutatemi per piacere;VODAFONE;D
cromaechitarra;2019-02-18;2019-02;2019;13:01;0;0;@ VodafoneIT C’è qualche problema di linea stamattina su Milano? La connessione va e viene sia da telefono che da computer.;VODAFONE;D
MadMax_TS;2019-02-18;2019-02;2019;10:01;0;0;@ VodafoneIT Buongiorno, devo segnalare problema su linea fissa, grazie.;VODAFONE;D
AleSa66418644;2019-02-17;2019-02;2019;21:59;0;0;@ VodafoneIT attivato Vodafone unlimited x3 ieri. A oggi dopo reset sim con operatore NON funziona Internet! È possibile essere contattati in privato? Senza scrivere qui il numero di cell? Dalla chat non si risolve nulla!;VODAFONE;D
thewar972;2019-02-17;2019-02;2019;19:33;0;0;@ VodafoneIT scusate ma come faccio a risolvere un problema sulla mia rete Wi-Fi di casa è da mesi che non va e non riesco a parlare con l'operatore, comunque pensavo che fosse più semplice ma vedo che non è possibile.C'è qualcuno che mi puo aiutare ?;VODAFONE;D
Ziotweet00;2019-02-17;2019-02;2019;10:26;0;0;@ VodafoneIT buongiorno il link http://voda.it/modemlibero  dovrebbe essere attivo ma non funziona, come mai?;VODAFONE;D
Ale_2oo2;2019-02-17;2019-02;2019;08:25;0;0;La connessione è troppo lenta a caricare video, link o a scaricare qualcosa, ping troppo alto e minimo tre volte a settimana la connessione non funziona per niente.;VODAFONE;D
davidedioni;2019-02-16;2019-02;2019;22:21;0;0;@ VodafoneIT sono 4 giorni che la rete fissa non va.... è lentissima!!!!;VODAFONE;D
lucia_bartolini;2019-02-16;2019-02;2019;16:33;0;0;Sì contratto di rete fissa, sono progressivamente aumentate senza che io abbia mai modificato l'offerta, vorrei capire perché.;VODAFONE;D
lorenzomuscoso;2019-02-16;2019-02;2019;15:24;0;0;Che linea schifosa e servizio clienti inesistente. Non passate a @ VodafoneIT le loro linee sono inefficienti e non veritiere. Inoltre, non riescono a risolvere i bugs, altro che 5g, qui siamo negli anni 80 # vodafone # internetpic.twitter.com/UaidQ5NThx;VODAFONE;D
jopavesi;2019-02-16;2019-02;2019;10:44;0;0;"@ VodafoneIT buongiorno problema linea telefono e dati vodafone in spagna. Non posso nemmeno chiamarvi ; solo sos";VODAFONE;D
ale_sias91;2019-02-16;2019-02;2019;10:39;0;0;Dalla Spagna linea down....;VODAFONE;D
dianzbd7;2019-02-16;2019-02;2019;10:03;0;0;Buongiorno. È possibile fare riconoscere alla Vodafone station Revolution un telefono cordless in wifi senza collegare il cavo nell'ingresso tel del router, ma con la sola alimentazione elettrica?;VODAFONE;D
